Title,Directed by,Music by,Budget,Superstar,Trailer ,Trailer Likes,Profit/Loss
Phalana Abbayi Phalana Ammayi,Srinivas Avasarala,Kalyani Malik,8,No,293467,4400,-5.79
Das Ka Dhamki,Vishwak Sen,"Leon James
Ram Miriyala (1 song)
Bhadru Nayak",20,Yes,8193871,210000,2.8
Shaakuntalam,Gunasekhar,Mani Sharma,65,Yes,2475715,31000,-45
Agent (film),Surender Reddy,"Hiphop Tamizha
Bheems Ceciroleo (1 song)",65,Yes,19504408,292000,-56.5
Bhuvana Vijayam (film),Yalamanda Charan,Shekar Chandra,10,No,1184495,7200,0
Anni Manchi Sakunamule,B. V. Nandini Reddy,Mickey J. Meyer,12,No,3673601,37000,-7.55
Malli Pelli (2023 film),M. S. Raju,"Songs:
Suresh Bobbili
Aruldev
Score:
Aruldev",15,No,6811480,34000,-9.66
Boo (2023 film),A. L. Vijay,"Songs:
G. V. Prakash Kumar
Score:
Madhu R",2,Yes,1399952,9600,5.4
Adipurush,Om Raut,"Score:
Sanchit Balhara
Ankit Balhara
Songs:
Ajay-Atul
Sachet?Parampara",600,Yes,29811366,671000,-246
Spy (2023 film),Garry BH,"Vishal Chandrasekhar
Sricharan Pakala",28,No,14899293,207000,0
Maya Petika,Ramesh Raparthi,Guna Balasubramanian,15,No,1672439,8100,7
Baby (2023 film),Sai Rajesh Neelam,Vijay Bulganin,10,No,21404453,369000,90
Hidimbha,Aneel Kanneganti,Vikas Badisa,10,No,7242884,71000,-4.31
Bhola Shankar,Meher Ramesh,Mahati Swara Sagar,101,Yes,20212028,326000,-58.75
Bedurulanka 2012,Clax,Mani Sharma,10,No,7595146,101000,2
Hanu-Man,Prasanth Varma,"Score:
GowraHari
Songs:
GowraHari
Anudeep Dev",40,No,24577014,406000,310
